latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
19.09491,73.16911,313.29,1.01,1,2022-01-24,0834,A,40,6.1NRT,300.85,6.08,D
19.53615,74.24127,317.23,1.07,1.03,2022-01-24,0834,A,65,6.1NRT,300.03,9.36,D
20.41927,81.41547,309.32,3.28,1.71,2022-01-24,0834,A,55,6.1NRT,295.86,25.7,D
19.33419,72.01695,316.19,1.01,1,2022-01-24,0834,A,65,6.1NRT,294.75,11.49,D
21.22952,76.761,311.18,1.53,1.22,2022-01-24,0834,A,54,6.1NRT,296.74,11.87,D
21.46807,72.76603,311.93,1.01,1,2022-01-24,0834,A,42,6.1NRT,299.71,4.27,D
23.79494,75.62489,306.66,1.4,1.17,2022-01-24,0834,A,23,6.1NRT,294.79,6.87,D
23.35481,70.05147,322.42,1.06,1.03,2022-01-24,0834,A,72,6.1NRT,304.92,11.52,D
24.52822,69.46787,318.05,1.09,1.04,2022-01-24,0834,A,58,6.1NRT,305.98,6.4,D
24.82366,68.06647,313.97,1.25,1.11,2022-01-24,0834,A,60,6.1NRT,303.1,8.02,D
25.01448,68.85837,313.92,1.13,1.06,2022-01-24,0834,A,52,6.1NRT,301.05,7.9,D
26.06913,75.97721,303.9,1.58,1.24,2022-01-24,0834,A,20,6.1NRT,292.19,7.62,D
26.2234,69.02286,313.09,1.09,1.04,2022-01-24,0837,A,53,6.1NRT,294.47,9.5,D
